year,game_id,team1,team2,disagreement,model_home,model_draw,model_away,book_home,book_draw,book_away,model_favorite,book_favorite,favorite_flip,model_prediction,blend_prediction,prediction_changed,actual,model_points,blend_points,delta
2014,15,Belgium,Algeria,0.18398147503277026,0.5442081433132075,0.26119429673378797,0.19459755995300457,0.7281896183457275,0.18203107682037403,0.0897793048333979,home,home,False,2-0,2-0,False,2-1,2,2,0
2014,16,Brazil,Mexico,0.07828427524804964,0.6482663940000628,0.21842350618716025,0.13331009981277692,0.726550669248368,0.17686872676748272,0.09658060398466034,home,home,False,2-0,2-0,False,0-0,0,0,0
2014,17,Russia,South Korea,0.022780587466928112,0.5445191591114912,0.27432835205446077,0.18115248883404803,0.5293603888895828,0.2667065348096878,0.20393307630122293,home,home,False,2-0,2-0,False,1-1,0,0,0
2014,18,Australia,Netherlands,0.16311956000683694,0.13966865420312888,0.2346807756658243,0.6256505701310469,0.06839762421325253,0.14283224564908684,0.7887701301381069,away,away,False,0-2,0-2,False,2-3,1,1,0
2014,19,Spain,Chile,0.05324290625504843,0.5659697331783996,0.2655471027070779,0.16848316411452252,0.6192126394332097,0.21340724362217553,0.1673801169441381,home,home,False,2-0,2-0,False,0-2,0,0,0
2014,20,Cameroon,Croatia,0.15054883821462892,0.2664144561763795,0.2964158839865079,0.4371696598371127,0.1696354687298069,0.24264603321819578,0.5877184980514858,away,away,False,0-1,0-1,False,0-4,1,1,0
2014,21,Colombia,Ivory Coast,0.06392638907151645,0.4145973916302731,0.2927928738394311,0.29260973453029576,0.47852378070204094,0.27229272076329075,0.24918349853517105,home,home,False,1-0,1-0,False,2-1,1,1,0
2014,22,Uruguay,England,0.09071448314276814,0.3188490407217336,0.2797794549153078,0.40137150436295865,0.2536042840515198,0.2543097284425134,0.49208598750548677,away,away,False,1-2,1-2,False,2-1,0,0,0
2014,23,Japan,Greece,0.06894707099539196,0.334639030605575,0.31451910106394537,0.35084186833047964,0.40358610160120684,0.28511499402784407,0.3112989043714289,away,home,True,0-1,1-0,True,0-0,0,0,0
2014,24,Italy,Costa Rica,0.07554693276680553,0.5483929116951185,0.2697793672193748,0.18182772108550677,0.6239398444616753,0.23628888138889137,0.1397712741489359,home,home,False,2-0,2-0,False,0-1,0,0,0
2014,25,Switzerland,France,0.09444441162410583,0.23967254290889647,0.32961968467919506,0.43070777241190855,0.2020031034418269,0.2728447125219069,0.5251521840357625,away,away,False,0-1,0-1,False,2-5,1,1,0
2014,26,Honduras,Ecuador,0.08268186521140639,0.2038689759188173,0.2704220999573025,0.5257089241238803,0.1628125383839041,0.22879667228105902,0.6083907893355364,away,away,False,0-2,0-2,False,1-2,2,2,0
2014,27,Argentina,Iran,0.16190699125813474,0.6945031197043972,0.20058612941574971,0.10491075087985317,0.8564101109623482,0.10619002852590392,0.03739986051138052,home,home,False,2-0,2-0,False,1-0,1,1,0
2014,28,Germany,Ghana,0.14728791372028133,0.5850934190250889,0.23113088513689076,0.18377569583802023,0.7323813327456075,0.16883795822175893,0.09878070903310791,home,home,False,2-0,2-0,False,2-2,0,0,0
2014,29,Nigeria,Bosnia and Herzegovina,0.1165087732400543,0.32893153814571674,0.27496331808373387,0.3961051437705495,0.22417476869832734,0.2632113142913236,0.5126139170108585,away,away,False,1-2,1-2,False,1-0,0,0,0
2014,30,Belgium,Russia,0.1674663342006416,0.2684626920389661,0.2898333717645726,0.4417039361964613,0.43592902623935315,0.28725891103723217,0.27681206272290554,away,home,True,0-1,1-0,True,1-0,0,3,3
2014,31,South Korea,Algeria,0.039598534738167795,0.41491560560629476,0.30242913998353793,0.2826552544101673,0.3852838268638148,0.29246238398760716,0.32225378914809216,home,home,False,1-0,1-0,False,2-4,0,0,0
2014,32,United States,Portugal,0.03243702484061162,0.1897155499243917,0.2676621662638236,0.5426222838117847,0.204560415369339,0.23522514142346096,0.560214443207698,away,away,False,0-2,0-2,False,2-2,0,0,0
2014,33,Australia,Spain,0.026983836241988607,0.08462832830100148,0.20175132505238816,0.7136203466466103,0.11161216454276263,0.1767217321219596,0.7116661033348228,away,away,False,0-2,0-2,False,0-3,1,1,0
2014,34,Netherlands,Chile,0.10606536181258935,0.46070533863287333,0.2795240890182965,0.2597705723488301,0.3615641629937398,0.27259990284458724,0.365835934161166,home,away,True,2-0,2-0,False,2-0,3,3,0
2014,35,Cameroon,Brazil,0.11304176832231944,0.07818451803444082,0.16723630667935097,0.7545791752862082,0.037052429585629446,0.09532662680606258,0.8676209436087473,away,away,False,0-2,0-2,False,1-4,1,1,0
2014,36,Croatia,Mexico,0.02809809541869876,0.3288116697368558,0.3023948327513299,0.3687934975118143,0.35690976515531586,0.27629030668462584,0.36679992815958085,away,away,False,0-1,0-1,False,1-3,1,1,0
2014,37,Italy,Uruguay,0.08083173059011786,0.29977483110665765,0.27332286351556867,0.4269023053777738,0.3786191247009167,0.2753103005111857,0.34607057478741415,away,home,True,1-2,2-1,True,0-1,1,0,-1
2014,38,Costa Rica,England,0.09355083198335573,0.12142067398448438,0.2331007850921884,0.6454785409233272,0.20856341770786876,0.23950887335191243,0.5519277089397242,away,away,False,0-2,0-2,False,0-0,0,0,0
2014,39,Japan,Colombia,0.06502196573288539,0.21114223995698075,0.2861620985939521,0.5026956614490672,0.27616420568962446,0.2574244341170275,0.4664113601928647,away,away,False,0-1,0-1,False,1-4,1,1,0
2014,40,Greece,Ivory Coast,0.054354205507391534,0.2695672598955718,0.2934214478480032,0.43701129225642504,0.24156226852634788,0.26707223371007255,0.4913654977640535,away,away,False,0-1,0-1,False,2-1,0,0,0
2014,41,Nigeria,Argentina,0.04107584756266226,0.1356856462093068,0.22463953658119423,0.639674817209499,0.09460979864639804,0.22483924115964532,0.6805509601934637,away,away,False,0-2,0-2,False,2-3,1,1,0
2014,42,Bosnia and Herzegovina,Iran,0.014289375923173142,0.45745911676716555,0.2697940537092534,0.272746829523581,0.44316974084374894,0.2703984664018136,0.2864317927539505,home,home,False,2-1,2-1,False,3-1,1,1,0
