year,date,home_team,away_team,h_odds_avg,d_odds_avg,a_odds_avg
2015,2015-01-24,Costa de Marfil,Mali,1.812,3.39,4.686
2015,2015-01-23,Sudáfrica,Senegal,4.232,3.22,1.97
2015,2015-01-23,Ghana,Argelia,3.47,3.104,2.266
2015,2015-01-22,Cabo Verde,RD Congo,3.36,3.004,2.36
2015,2015-01-22,Zambia,Túnez,3.85,3.044,2.146
2015,2015-01-21,Gabón,Congo,1.974,3.17,4.26
2015,2015-01-21,Guinea Ecuatorial,Burkina Faso,3.76,3.16,2.122
2015,2015-01-20,Mali,Camerún,4.06,3.19,2.016
2015,2015-01-20,Costa de Marfil,Guinea,1.414,4.366,8.71
2015,2015-01-19,Argelia,Sudáfrica,1.766,3.33,5.28
2015,2015-01-19,Ghana,Senegal,2.656,3.06,2.834
2015,2015-01-18,Túnez,Cabo Verde,2.006,3.096,4.076
2015,2015-01-18,Zambia,RD Congo,2.488,2.91,3.07
2015,2015-01-17,Burkina Faso,Gabón,2.792,2.886,2.75
2015,2015-01-17,Guinea Ecuatorial,Congo,2.394,3.014,3.134
2024,2024-07-14,España,Inglaterra,2.4283,2.87,3.5433
2024,2024-07-10,Países Bajos,Inglaterra,3.1517,2.8117,2.6933
2024,2024-07-09,España,Francia,2.7083,2.8433,3.1183
2024,2024-07-06,Países Bajos,Turquía,1.5983,3.9317,6.0983
2024,2024-07-06,Inglaterra,Suiza,2.205,2.9283,3.95
2024,2024-07-05,Portugal,Francia,3.335,2.995,2.4217
2024,2024-07-05,España,Alemania,2.685,3.085,2.8417
2024,2024-07-02,Austria,Turquía,1.96,3.355,4.195
2024,2024-07-02,Rumanía,Países Bajos,8.0433,4.4617,1.425
2024,2024-07-01,Portugal,Eslovenia,1.365,4.885,9.1533
2024,2024-07-01,Francia,Bélgica,2.0383,3.2567,4.0117
2024,2024-06-30,España,Georgia,1.2067,6.8633,14.6667
2024,2024-06-30,Inglaterra,Eslovaquia,1.4433,4.19,8.63
2024,2024-06-29,Alemania,Dinamarca,1.6317,3.8233,5.7917
2024,2024-06-29,Suiza,Italia,3.2717,2.8367,2.575
2024,2024-06-26,Georgia,Portugal,8.8683,5.0267,1.3633
2024,2024-06-26,República Checa,Turquía,2.5283,3.2717,2.885
2024,2024-06-26,Ucrania,Bélgica,5.6417,4.0467,1.6083
2024,2024-06-26,Eslovaquia,Rumanía,2.905,2.1167,4.235
2024,2024-06-25,Dinamarca,Serbia,2.2967,3.2017,3.3483
2024,2024-06-25,Inglaterra,Eslovenia,1.31,5.2517,10.6667
2024,2024-06-25,Países Bajos,Austria,1.8083,3.52,4.7333
2024,2024-06-25,Francia,Polonia,1.2817,5.7683,10.9667
2024,2024-06-24,Albania,España,8.0817,4.815,1.405
2024,2024-06-24,Croacia,Italia,3.1017,3.0583,2.545
2024,2024-06-23,Suiza,Alemania,6.11,3.9567,1.5867
2024,2024-06-23,Escocia,Hungría,2.3167,3.88,2.8
