continental,qualifier,regional,friendly,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
1.0,0.7,0.3,1.0,11.177303895659744,582.4,44,2.9772727272727266,120.7,71,21.328125,120.6,52,8.604651162790695,113.2,60,15.0,115.6,52,7.976470588235294,112.4
0.9,0.7,1.0,1.0,11.177303895659744,846.8,44,2.9772727272727266,149.8,72,22.328125,140.8,51,7.604651162790695,212.5,60,15.0,190.4,52,7.976470588235294,153.4
0.9,0.7,0.5,1.0,11.177303895659744,831.1,44,2.9772727272727266,151.8,72,22.328125,140.7,51,7.604651162790695,168.7,60,15.0,228.1,52,7.976470588235294,141.8
0.8,0.7,1.0,1.0,11.177303895659744,1272.6,44,2.9772727272727266,217.3,72,22.328125,319.7,52,8.604651162790695,429.7,60,15.0,169.8,51,6.976470588235294,136.2
0.9,0.7,0.3,1.0,11.177303895659744,1747.3,44,2.9772727272727266,462.2,72,22.328125,395.8,51,7.604651162790695,416.2,60,15.0,230.8,52,7.976470588235294,242.3
1.0,0.5,1.0,1.0,10.977303895659743,597.9,41,-0.022727272727273373,131.7,70,20.328125,120.6,53,9.604651162790695,112.5,60,15.0,118.3,54,9.976470588235294,114.8
1.0,0.5,0.5,1.0,10.977303895659743,593.0,41,-0.022727272727273373,130.9,70,20.328125,115.8,53,9.604651162790695,116.9,60,15.0,115.7,54,9.976470588235294,113.7
0.9,0.5,1.0,1.0,10.777303895659744,1751.4,40,-1.0227272727272734,483.7,70,20.328125,400.9,53,9.604651162790695,417.5,60,15.0,227.2,54,9.976470588235294,222.1
0.8,0.5,1.0,1.0,10.577303895659742,662.9,40,-1.0227272727272734,122.5,70,20.328125,133.1,52,8.604651162790695,135.5,60,15.0,151.0,54,9.976470588235294,120.9
0.9,0.5,0.3,1.0,10.377303895659743,1736.3,41,-0.022727272727273373,448.4,70,20.328125,421.0,53,9.604651162790695,380.0,60,15.0,268.1,51,6.976470588235294,218.9
1.0,0.5,0.3,1.0,10.377303895659743,604.9,41,-0.022727272727273373,130.0,70,20.328125,126.8,53,9.604651162790695,113.5,60,15.0,122.2,51,6.976470588235294,112.4
0.9,0.5,0.5,1.0,10.177303895659744,1749.0,40,-1.0227272727272734,486.8,70,20.328125,401.2,53,9.604651162790695,415.0,60,15.0,222.7,51,6.976470588235294,223.3
0.8,0.5,0.5,1.0,10.177303895659744,656.0,40,-1.0227272727272734,120.8,70,20.328125,133.8,52,8.604651162790695,130.9,61,16.0,144.5,51,6.976470588235294,126.1
0.8,0.5,0.3,1.0,10.177303895659744,692.0,40,-1.0227272727272734,123.6,70,20.328125,136.7,52,8.604651162790695,135.7,61,16.0,141.4,51,6.976470588235294,154.5
