decay_lambda,training_years,regularization,avg_margin,combo_time_s,pts_2002,margin_2002,time_2002,pts_2006,margin_2006,time_2006,pts_2010,margin_2010,time_2010,pts_2018,margin_2018,time_2018,pts_2022,margin_2022,time_2022
0.3,14,0.0001,13.977303895659741,1356.2,53,11.977272727272727,284.8,67,17.328125,350.8,61,17.604651162790695,323.8,62,17.0,243.2,50,5.976470588235294,153.7
0.25,12,0.001,13.977303895659741,1186.0,55,13.977272727272727,197.8,64,14.328125,307.2,60,16.604651162790695,264.6,62,17.0,189.3,52,7.976470588235294,227.1
0.25,12,0.01,13.977303895659741,742.1,55,13.977272727272727,107.0,64,14.328125,154.9,60,16.604651162790695,199.7,62,17.0,137.3,52,7.976470588235294,143.1
0.2,8,0.0001,13.977303895659741,661.1,54,12.977272727272727,112.4,65,15.328125,161.9,63,19.604651162790695,105.0,61,16.0,140.8,50,5.976470588235294,140.9
0.15,14,0.01,13.777303895659742,710.7,51,9.977272727272727,134.2,70,20.328125,151.7,58,14.604651162790695,144.1,58,13.0,146.5,55,10.976470588235294,134.2
0.2,12,0.0001,13.777303895659742,1400.4,55,13.977272727272727,225.9,66,16.328125,307.0,60,16.604651162790695,224.7,58,13.0,250.7,53,8.976470588235294,392.0
0.3,14,0.01,13.777303895659742,654.6,53,11.977272727272727,125.2,67,17.328125,133.7,62,18.604651162790695,129.7,60,15.0,131.7,50,5.976470588235294,134.3
0.3,12,0.01,13.577303895659742,542.3,50,8.977272727272727,108.0,67,17.328125,129.3,62,18.604651162790695,102.1,62,17.0,97.2,50,5.976470588235294,105.7
0.25,6,0.001,13.577303895659742,430.7,57,15.977272727272727,72.0,67,17.328125,120.9,62,18.604651162790695,83.3,57,12.0,77.1,48,3.976470588235294,77.4
0.25,10,0.01,13.577303895659742,601.6,54,12.977272727272727,84.8,64,14.328125,120.1,59,15.604651162790695,109.4,62,17.0,175.0,52,7.976470588235294,112.3
0.25,6,0.0001,13.577303895659742,468.0,57,15.977272727272727,88.6,67,17.328125,113.3,62,18.604651162790695,91.3,57,12.0,93.5,48,3.976470588235294,81.4
0.15,8,0.001,13.577303895659742,682.5,50,8.977272727272727,139.5,65,15.328125,174.2,62,18.604651162790695,114.1,63,18.0,115.3,51,6.976470588235294,139.4
0.15,8,0.01,13.577303895659742,396.6,50,8.977272727272727,76.2,65,15.328125,97.1,62,18.604651162790695,65.2,63,18.0,77.0,51,6.976470588235294,81.1
0.15,8,0.0001,13.577303895659742,756.0,50,8.977272727272727,137.2,65,15.328125,191.9,62,18.604651162790695,148.4,63,18.0,127.7,51,6.976470588235294,150.8
0.25,10,0.0001,13.577303895659742,1186.9,54,12.977272727272727,178.6,64,14.328125,262.2,59,15.604651162790695,313.1,62,17.0,220.2,52,7.976470588235294,212.8
0.25,10,0.001,13.577303895659742,962.0,54,12.977272727272727,136.5,64,14.328125,220.0,59,15.604651162790695,227.6,62,17.0,190.0,52,7.976470588235294,187.8
0.25,14,0.0001,13.377303895659741,1725.7,55,13.977272727272727,404.2,65,15.328125,407.5,60,16.604651162790695,323.1,60,15.0,317.5,50,5.976470588235294,273.3
0.3,10,0.0001,13.377303895659741,1014.7,53,11.977272727272727,225.3,65,15.328125,190.8,62,18.604651162790695,207.0,60,15.0,189.8,50,5.976470588235294,201.9
0.25,14,0.01,13.377303895659741,812.3,55,13.977272727272727,133.4,65,15.328125,235.2,60,16.604651162790695,165.1,60,15.0,152.5,50,5.976470588235294,126.1
0.25,6,0.01,13.377303895659741,257.8,57,15.977272727272727,48.8,67,17.328125,61.5,62,18.604651162790695,48.4,57,12.0,48.6,47,2.976470588235294,50.5
0.3,10,0.01,13.377303895659741,467.7,53,11.977272727272727,88.5,65,15.328125,103.7,62,18.604651162790695,86.3,60,15.0,94.2,50,5.976470588235294,95.0
0.3,10,0.001,13.377303895659741,814.5,53,11.977272727272727,160.8,65,15.328125,193.7,62,18.604651162790695,151.7,60,15.0,145.4,50,5.976470588235294,163.0
0.25,14,0.001,13.377303895659741,1330.4,55,13.977272727272727,313.8,65,15.328125,295.4,60,16.604651162790695,264.0,60,15.0,226.4,50,5.976470588235294,230.8
0.25,16,0.001,13.177303895659742,1461.8,54,12.977272727272727,346.1,65,15.328125,290.2,60,16.604651162790695,287.9,60,15.0,274.8,50,5.976470588235294,262.8
